num_nodes,num_edges,density,num_communities,min_community_size,max_community_size,avg_community_size,louvain_modularity,label
47,53,0.04902867715078631,6,4,11,7.833333333333333,0.6774652901388394,0
11,11,0.2,4,2,3,2.75,0.38016528925619836,1
9,8,0.2222222222222222,3,2,4,3.0,0.3671875,1
10,10,0.2222222222222222,4,2,3,2.5,0.33999999999999997,1
16,17,0.14166666666666666,3,4,6,5.333333333333333,0.4290657439446366,0
9,9,0.25,3,2,4,3.0,0.42592592592592593,1
11,12,0.21818181818181817,4,2,4,2.75,0.3229166666666667,1
10,11,0.24444444444444444,3,2,4,3.3333333333333335,0.268595041322314,1
17,16,0.11764705882352941,5,3,4,3.4,0.541015625,0
9,8,0.2222222222222222,3,2,4,3.0,0.3984375,1
76,83,0.02912280701754386,8,7,11,9.5,0.7652053999129046,0
11,11,0.2,3,3,4,3.6666666666666665,0.3842975206611571,1
11,11,0.2,3,3,4,3.6666666666666665,0.38842975206611574,1
8,8,0.2857142857142857,2,3,5,4.0,0.3046875,1
20,21,0.11052631578947368,4,4,6,5.0,0.5498866213151927,0
6,5,0.3333333333333333,1,6,6,6.0,0.0,1
11,12,0.21818181818181817,4,2,3,2.75,0.3298611111111111,1
9,9,0.25,3,2,4,3.0,0.30864197530864196,1
64,69,0.03422619047619048,6,10,11,10.666666666666666,0.731674018063432,0
12,11,0.16666666666666666,4,3,3,3.0,0.475206611570248,1
11,12,0.21818181818181817,3,3,4,3.6666666666666665,0.32986111111111105,1
11,12,0.21818181818181817,3,3,4,3.6666666666666665,0.4131944444444444,1
9,9,0.25,3,3,3,3.0,0.32716049382716045,1
10,11,0.24444444444444444,4,2,3,2.5,0.29338842975206614,1
4,3,0.5,2,2,2,2.0,0.16666666666666663,1
12,13,0.19696969696969696,3,3,6,4.0,0.3727810650887574,1
11,12,0.21818181818181817,4,2,3,2.75,0.3298611111111111,1
20,21,0.11052631578947368,5,2,6,4.0,0.5226757369614512,0
9,8,0.2222222222222222,3,3,3,3.0,0.4140625,1
12,12,0.18181818181818182,4,2,4,3.0,0.39236111111111105,1
10,10,0.2222222222222222,4,2,3,2.5,0.345,1
10,9,0.2,3,3,4,3.3333333333333335,0.42592592592592593,1
11,12,0.21818181818181817,3,3,4,3.6666666666666665,0.32291666666666663,1
10,10,0.2222222222222222,4,2,3,2.5,0.33999999999999997,1
9,11,0.3055555555555556,2,4,5,4.5,0.21074380165289253,1
20,23,0.12105263157894737,4,3,6,5.0,0.5189035916824197,0
11,11,0.2,4,2,3,2.75,0.3760330578512397,1
10,9,0.2,3,2,4,3.3333333333333335,0.42592592592592593,1
8,9,0.32142857142857145,4,2,2,2.0,0.191358024691358,1
12,12,0.18181818181818182,3,4,4,4.0,0.4131944444444444,1
10,10,0.2222222222222222,3,3,4,3.3333333333333335,0.365,1
12,12,0.18181818181818182,4,2,4,3.0,0.41319444444444436,1
19,20,0.11695906432748537,3,5,8,6.333333333333333,0.495,0
40,45,0.057692307692307696,5,6,10,8.0,0.6995061728395062,0
8,8,0.2857142857142857,3,2,3,2.6666666666666665,0.28125,1
9,8,0.2222222222222222,3,3,3,3.0,0.4140625,1
12,12,0.18181818181818182,3,4,4,4.0,0.4166666666666667,1
12,12,0.18181818181818182,4,2,4,3.0,0.41319444444444436,1
10,10,0.2222222222222222,3,2,4,3.3333333333333335,0.3549999999999999,1
11,12,0.21818181818181817,3,3,4,3.6666666666666665,0.32291666666666663,1
11,12,0.21818181818181817,3,3,4,3.6666666666666665,0.32291666666666663,1
10,9,0.2,3,3,4,3.3333333333333335,0.42592592592592593,1
9,8,0.2222222222222222,3,3,3,3.0,0.4140625,1
12,12,0.18181818181818182,4,2,4,3.0,0.40277777777777773,1
12,12,0.18181818181818182,4,2,4,3.0,0.39236111111111105,1
11,12,0.21818181818181817,3,3,4,3.6666666666666665,0.32291666666666663,1
35,40,0.06722689075630252,5,4,11,7.0,0.6015625,0
11,12,0.21818181818181817,3,3,4,3.6666666666666665,0.32291666666666663,1
36,37,0.05873015873015873,5,5,9,7.2,0.6837107377647917,0
11,10,0.18181818181818182,4,2,3,2.75,0.44499999999999995,1
7,7,0.3333333333333333,3,2,3,2.3333333333333335,0.22448979591836737,1
12,12,0.18181818181818182,3,3,5,4.0,0.4027777777777778,1
2,1,1.0,1,2,2,2.0,0.0,1
56,61,0.03961038961038961,6,8,13,9.333333333333334,0.7093523246439128,0
10,9,0.2,3,2,4,3.3333333333333335,0.42592592592592593,1
8,8,0.2857142857142857,4,2,2,2.0,0.25,1
10,9,0.2,3,2,4,3.3333333333333335,0.42592592592592593,1
8,7,0.25,2,4,4,4.0,0.3571428571428571,1
30,32,0.0735632183908046,5,5,8,6.0,0.634765625,0
8,8,0.2857142857142857,3,2,3,2.6666666666666665,0.28125,1
12,12,0.18181818181818182,4,2,4,3.0,0.4131944444444444,1
12,12,0.18181818181818182,3,2,6,4.0,0.42708333333333337,1
10,11,0.24444444444444444,4,2,3,2.5,0.29338842975206614,1
12,13,0.19696969696969696,3,3,5,4.0,0.3520710059171598,1
11,11,0.2,3,3,4,3.6666666666666665,0.38842975206611574,1
11,11,0.2,4,2,3,2.75,0.3842975206611571,1
35,38,0.06386554621848739,5,5,10,7.0,0.6734764542936289,0
9,9,0.25,3,2,4,3.0,0.31481481481481477,1
8,8,0.2857142857142857,3,2,4,2.6666666666666665,0.25,1
11,12,0.21818181818181817,3,3,4,3.6666666666666665,0.32291666666666663,1
11,11,0.2,3,3,4,3.6666666666666665,0.38842975206611574,1
11,11,0.2,4,2,3,2.75,0.38016528925619836,1
11,11,0.2,3,3,4,3.6666666666666665,0.3842975206611571,1
11,11,0.2,4,2,3,2.75,0.38016528925619836,1
12,14,0.21212121212121213,4,2,4,3.0,0.38520408163265313,1
