0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,label
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,6,0,0,0,0,16,8,0,0,0,0,0,0,12,0,0,4,0,0,10,12,0,0,0,0,8,4,0,0,17,3,0,0,8,0,0,16,0,0,0,0,8,0,16,0,0,16,8,0,0,0,0,0,8,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,8,8,8,4,0,10,16,14,16,2,4,2,0,6,20,38,28,6,4,0,12,20,4,26,15,5,4,10,24,24,28,76,10,26,25,25,50,22,10,30,30,60,14,34,34,32,28,30,22,40,64,114,34,26,52,46,60,38,26,44,60,80,54,36,52,28,74,36,30,66,40,44,30,68,32,50,32,44,24,70,46,22,60,42,84,28,50,46,20,42,56,50,34,54,20,60,14,24,42,68,36,22,20,42,46,26,10,10,34,30,46,36,38,4,30,20,18,48,22,58,34,42,34,42,20,40,30,30,24,14,16,16,20,32,2,24,10,16,16,8,26,12,28,10,14,18,22,22,16,12,2,8,4,6,6,18,8,10,16,22,10,4,4,22,12,14,14,8,4,10,2,12,12,24,14,1
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,16,6,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,16,16,0,0,0,0,0,0,0,0,12,4,4,0,0,0,0,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,4,0,0,4,2,0,0,8,26,12,0,0,0,0,4,14,0,2,4,6,10,6,8,4,12,12,16,16,0,4,6,22,0,16,19,5,6,2,10,2,10,6,2,12,4,2,4,8,12,4,8,22,4,12,11,27,10,12,16,10,6,18,22,6,12,2,18,2,20,22,10,32,16,6,7,23,0,6,6,16,2,20,20,14,8,4,10,0,10,12,6,2,2,12,6,20,2,0,0,2,2,8,34,12,4,0,2,6,4,2,0,30,2,18,0,10,2,0,0,14,12,2,2,0,0,0,2,6,2,16,4,0,0,14,0,36,2,4,4,0,2,0,0,12,12,2,0,4,0,4,0,0,0,0,6,2,0,2,0,4,2,4,0,0,2,4,0,2,0,0,0,0,4,0,2,1
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,8,4,6,2,8,8,12,4,2,2,0,0,15,21,0,0,6,18,16,8,2,8,15,7,8,12,2,10,10,18,6,6,10,4,8,8,6,6,16,4,6,20,14,16,6,0,12,6,52,16,10,12,16,16,4,4,28,12,14,10,10,6,14,30,18,26,10,22,16,10,18,18,2,14,6,48,24,0,2,14,14,10,22,20,0,6,18,8,2,12,6,18,9,3,12,0,2,20,12,6,2,0,6,8,10,10,0,0,4,30,8,26,0,6,0,0,2,2,6,12,4,0,2,4,12,4,6,10,6,2,8,6,2,12,2,0,6,0,0,0,2,10,4,2,2,18,6,18,0,6,16,20,0,18,0,0,10,0,0,0,0,0,2,2,6,6,2,22,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,8,12,0,0,0,0,2,0,8,4,0,8,0,2,8,8,4,0,0,4,4,8,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,18,2,16,4,0,2,2,0,16,16,0,0,8,8,4,4,2,12,6,14,2,12,0,0,2,14,2,10,11,13,6,4,6,8,2,12,4,16,26,0,1,1,0,6,4,32,2,8,11,35,20,8,16,6,6,10,2,4,12,10,12,4,6,14,5,17,14,0,9,15,0,26,12,4,14,44,9,29,0,0,0,0,0,14,24,20,2,0,6,2,2,4,0,0,0,16,0,6,24,6,2,2,2,4,26,2,2,8,6,12,0,8,4,0,6,0,0,36,0,0,12,0,0,2,4,2,4,0,0,24,2,2,0,0,4,0,0,36,0,0,0,0,6,0,0,4,0,2,0,0,4,2,2,4,0,2,2,0,0,2,0,0,0,0,0,0,8,8,0,1
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,12,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,12,6,4,4,4,0,4,0,0,0,19,17,2,0,2,4,4,0,0,0,21,13,0,2,4,4,0,0,0,16,66,62,4,8,2,4,4,6,8,0,4,0,4,4,0,4,4,0,4,0,55,41,0,4,0,24,6,10,0,6,4,0,8,8,4,0,8,8,6,2,69,39,4,0,4,0,6,0,8,4,4,4,0,2,4,4,0,4,6,0,57,29,4,14,0,0,0,6,4,2,12,6,4,0,12,0,0,6,2,4,52,28,4,2,0,4,0,2,0,4,15,7,10,0,0,0,10,4,4,4,48,32,8,0,4,4,0,0,6,4,8,0,2,0,4,4,0,2,4,0,43,25,0,0,18,0,0,8,0,0,4,0,4,4,4,4,4,4,0,0,44,1
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,2,0,4,0,4,2,16,6,16,16,0,0,0,8,14,28,2,14,8,10,12,14,4,18,23,7,2,12,8,14,2,14,10,10,4,10,8,18,4,8,12,32,10,20,32,8,18,10,16,18,42,10,24,26,6,18,8,20,16,24,10,22,10,18,10,20,26,30,20,14,40,22,32,36,20,8,24,28,8,20,4,34,42,28,24,20,6,46,20,4,22,18,18,16,10,16,12,10,24,24,12,26,6,14,12,34,20,16,14,22,12,24,20,28,16,26,2,8,12,10,8,22,12,16,16,6,16,12,12,22,6,4,12,10,8,4,4,12,20,10,18,6,2,20,4,24,8,18,0,18,0,2,0,0,6,0,2,2,6,2,0,2,2,8,0,2,2,2,0,6,6,0,0,2,4,1
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,2,4,0,3,3,12,6,0,0,0,2,8,8,2,2,8,0,0,2,11,9,6,4,4,2,14,0,4,4,0,0,8,10,4,4,4,4,4,6,2,16,1,3,5,13,4,4,4,20,0,8,6,8,0,0,8,4,2,14,5,11,6,4,0,0,4,2,6,8,2,0,7,3,4,4,2,2,2,12,8,2,1,1,4,4,8,0,2,2,0,2,1,1,0,2,10,2,0,12,2,4,0,0,0,8,8,2,0,0,6,0,1,3,0,4,0,0,4,2,0,2,4,4,6,2,4,6,0,2,0,0,0,10,6,14,0,4,0,4,2,12,0,4,4,0,14,4,2,0,2,2,1,1,6,8,0,2,8,0,2,0,2,14,2,0,0,0,0,8,6,4,4,0
