num_nodes,num_edges,density,num_communities,min_community_size,max_community_size,avg_community_size,louvain_modularity,label
16,16,0.13333333333333333,4,3,5,4.0,0.46484375,0
72,77,0.030125195618153366,9,6,15,8.0,0.7049249451846855,1
14,13,0.14285714285714285,4,3,4,3.5,0.514792899408284,0
36,38,0.06031746031746032,6,4,8,6.0,0.6121883656509695,1
41,43,0.0524390243902439,7,4,10,5.857142857142857,0.6414277988101676,1
11,11,0.2,3,3,4,3.6666666666666665,0.38842975206611574,1
35,36,0.06050420168067227,7,4,8,5.0,0.6315586419753086,1
8,7,0.25,2,4,4,4.0,0.3571428571428571,1
46,45,0.043478260869565216,7,5,9,6.571428571428571,0.7182716049382716,1
50,54,0.044081632653061226,8,4,10,6.25,0.6728395061728396,1
28,29,0.07671957671957672,5,4,7,5.6,0.5814506539833532,0
16,15,0.125,4,3,5,4.0,0.5466666666666666,1
12,11,0.16666666666666666,3,4,4,4.0,0.48347107438016534,1
42,45,0.05226480836236934,6,4,10,7.0,0.6634567901234568,1
52,54,0.04072398190045249,8,4,8,6.5,0.7023319615912209,0
17,17,0.125,5,3,5,3.4,0.5,0
31,32,0.06881720430107527,6,4,7,5.166666666666667,0.60205078125,0
14,14,0.15384615384615385,4,3,4,3.5,0.4566326530612245,0
26,29,0.08923076923076922,5,4,7,5.2,0.514268727705113,0
13,12,0.15384615384615385,4,2,4,3.25,0.4930555555555555,1
38,39,0.05547652916073969,7,4,7,5.428571428571429,0.6462853385930308,0
39,41,0.0553306342780027,6,6,7,6.5,0.6573468173706127,1
24,26,0.09420289855072464,5,4,6,4.8,0.525887573964497,0
22,22,0.09523809523809523,4,4,7,5.5,0.5557851239669421,0
21,21,0.1,4,4,6,5.25,0.5498866213151927,0
33,35,0.06628787878787878,6,4,8,5.5,0.6326530612244898,0
30,29,0.06666666666666667,6,4,8,5.0,0.6426872770511296,1
48,51,0.04521276595744681,7,5,10,6.857142857142857,0.654171472510573,1
14,13,0.14285714285714285,4,3,4,3.5,0.5118343195266273,1
24,23,0.08333333333333333,6,4,4,4.0,0.6134215500945179,1
32,33,0.06653225806451613,6,4,6,5.333333333333333,0.6166207529843893,1
26,28,0.08615384615384615,5,4,8,5.2,0.5510204081632653,0
34,35,0.062388591800356503,5,4,10,6.8,0.6355102040816326,1
20,21,0.11052631578947368,5,3,5,4.0,0.536281179138322,0
41,43,0.0524390243902439,6,4,8,6.833333333333333,0.6368307193077339,0
10,10,0.2222222222222222,3,3,4,3.3333333333333335,0.365,1
