num_nodes,num_edges,density,num_communities,min_community_size,max_community_size,avg_community_size,louvain_modularity,min_Betweenness,max_Betweenness,avg_Betweenness,min_EigenvectorCentrality,max_EigenvectorCentrality,avg_EigenvectorCentrality,min_LaplacianCentrality,max_LaplacianCentrality,avg_LaplacianCentrality,min_Sfigality,max_Sfigality,avg_Sfigality,min_DegreeCentrality,max_DegreeCentrality,avg_DegreeCentrality,min_HarmonicCloseness,max_HarmonicCloseness,avg_HarmonicCloseness,min_KatzCentrality,max_KatzCentrality,avg_KatzCentrality,min_KPathCentrality,max_KPathCentrality,avg_KPathCentrality,avg_core_decmposition,min_closeness_centrality,max_closeness_centrality,avg_closeness_centrality,ged_walk_centrality,label
16,16,0.13333333333333333,4,3,5,4.0,0.46484375,0.0,88.0,33.75,0.09161099324890278,0.376993316654836,0.22223909650484544,8.0,30.0,17.0,0.0,1.0,0.5,1.0,3.0,2.0,0.3146031746031746,0.51,0.40753968253968254,0.12154201459305494,0.3633330434115668,0.2282145272973939,1.0950570342205324,10.220532319391634,5.2927756653992395,1.375,0.24193548387096775,0.39473684210526316,0.31968807137260025,6.643238455057144,0
72,77,0.030125195618153366,10,6,11,7.2,0.700033732501265,0.0,1907.1077922077916,368.41666666666663,0.006923182114624679,0.3129233329053847,0.08939005872343504,6.0,52.0,21.88888888888889,0.0,1.0,0.6319444444444444,1.0,4.0,2.138888888888889,0.14881179071319908,0.3110887547507265,0.2231696327060176,0.04039474145640024,0.21925460277526396,0.10235078306894398,2.97627606038821,23.163191948238676,10.778217109992811,1.3333333333333333,0.11007751937984496,0.23745819397993312,0.16698806971499572,8.21554475008,1
14,13,0.14285714285714285,4,3,4,3.5,0.514792899408284,0.0,112.0,26.285714285714285,0.10678884642990503,0.4811572148994546,0.2268071260785251,8.0,34.0,16.428571428571427,0.0,1.0,0.6904761904761905,1.0,4.0,1.8571428571428572,0.3358974358974359,0.5897435897435896,0.4265567765567765,0.1428035996875849,0.42799288679211245,0.2413234598252753,1.8181818181818181,12.0,4.974025974025975,1.0,0.2653061224489796,0.52,0.3442839853458165,3.822899200000001,0
36,38,0.06031746031746032,7,4,6,5.142857142857143,0.6163434903047091,0.0,520.6666666666667,145.77777777777777,0.0491741237824512,0.2909064436982101,0.14454746548587594,8.0,44.0,19.444444444444443,0.0,1.0,0.5185185185185186,1.0,4.0,2.111111111111111,0.21695629767058344,0.3551814058956915,0.27851485375294893,0.08002152116943256,0.2858194886906661,0.15197845394762025,2.3414634146341466,15.951219512195124,8.29268292682927,1.3888888888888888,0.15350877192982454,0.2692307692307692,0.2003488425318894,5.311237120000001,1
41,43,0.0524390243902439,7,4,7,5.857142857142857,0.6435911303407247,0.0,715.0,172.6829268292683,0.0018727545050464527,0.41268764268662905,0.11389506489039238,8.0,50.0,19.951219512195124,0.0,1.0,0.6178861788617885,1.0,4.0,2.097560975609756,0.18215818903318898,0.38693452380952376,0.2667678967374089,0.06877247036507574,0.3073715294986148,0.13896455912076508,2.3789664551223932,18.13961922030825,8.188576609247507,1.2926829268292683,0.12578616352201258,0.27972027972027974,0.19646645308878535,7.135005695999999,1
11,11,0.2,3,3,4,3.6666666666666665,0.38842975206611574,0.0,34.0,15.454545454545455,0.1496165411438236,0.42954012400133174,0.28058139066826154,8.0,26.0,16.727272727272727,0.0,1.0,0.5454545454545454,1.0,3.0,2.0,0.395,0.6,0.49666666666666665,0.1616641155826255,0.40458578715723675,0.28112384505356613,1.8232044198895028,9.298342541436464,5.320441988950276,1.5454545454545454,0.3225806451612903,0.5,0.404810001214878,5.297798156738281,1
35,36,0.06050420168067227,7,4,8,5.0,0.6315586419753086,0.0,474.6666666666667,138.57142857142858,0.014774979592177837,0.3838511305822231,0.13263065295921977,8.0,48.0,19.2,0.0,1.0,0.6,1.0,4.0,2.057142857142857,0.2068340972752737,0.3858193277310924,0.2808154170759212,0.0824160857314912,0.3175137217294684,0.1526457846553148,2.625,16.770833333333336,7.866666666666666,1.2857142857142858,0.14225941422594143,0.2809917355371901,0.20469803332858133,5.905612799999998,1
8,7,0.25,2,4,4,4.0,0.3571428571428571,0.0,30.0,7.5,0.2453965493225378,0.5651031770763403,0.32532320626098843,10.0,34.0,16.0,0.0,1.0,0.75,1.0,4.0,1.75,0.5,0.7857142857142857,0.5714285714285714,0.2280723243319626,0.5864716912361996,0.31767216605802184,0.8421052631578947,7.017543859649122,2.807017543859649,1.0,0.4375,0.7,0.503125,3.6090163200000003,1
46,45,0.043478260869565216,7,5,9,6.571428571428571,0.7182716049382716,0.0,1098.0,257.60869565217394,0.005422799906672916,0.33422265712758253,0.1155922960803859,6.0,40.0,18.91304347826087,0.0,1.0,0.677536231884058,1.0,4.0,1.9565217391304348,0.154488686694569,0.3123544973544973,0.23250412749133978,0.060470515120946734,0.24319830435460563,0.1303992439512796,2.417077175697865,18.732348111658457,7.527093596059115,1.0,0.10180995475113121,0.2122641509433962,0.15432994845465595,4.995308306432,1
50,54,0.044081632653061226,8,4,10,6.25,0.6728395061728396,0.0,817.9999999999999,229.44,0.0055120874135722985,0.3452673326865182,0.10431069865958185,6.0,46.0,20.52,0.0,1.0,0.6,1.0,4.0,2.16,0.1737844355191294,0.3431000971817298,0.24673038752630583,0.054879672666905216,0.25641529507696315,0.12655769069744324,1.6819571865443423,18.04281345565749,8.25993883792049,1.36,0.12694300518134716,0.26063829787234044,0.18326265805557537,6.658818949120003,1
